Game Id	Rental Start Date	Rental End Date	Customer Id
2	24/10/2023		8420
59	06/11/2023		5956
62	30/06/2023		2096
97	09/11/2023		5212
6	09/11/2023		5212
82	31/10/2023		5326
29	09/11/2023		5326
0	08/11/2023		5326
90	09/11/2023		4901
92	09/11/2023		1569
83	09/11/2023		1569
60	09/11/2023		1915
100	09/11/2023		1384
16	08/11/2023		8221
14	08/11/2023		2029
63	07/11/2023		8232
71	03/11/2023		3551
45	08/11/2023		3551
11	08/11/2023		1662
78	09/11/2023		8454
26	09/11/2023		4413
53	02/11/2023		4413
72	09/11/2023		4413
33	06/11/2023		4413
87	08/11/2023		3545
35	09/11/2023		3545
40	09/11/2023		8933
20	09/11/2023		9883
21	09/11/2023		3601
10	09/11/2023		3041
38	09/11/2023		6294
19	09/11/2023		9967
80	09/11/2023		5526
99	09/11/2023		5526
65	09/11/2023		7006
61	07/11/2023		7006
24	08/11/2023		1784
73	09/11/2023		1784
56	09/11/2023		6758
7	08/11/2023		6758
51	09/11/2023		4437
3	09/11/2023		7644
77	06/11/2023		6812
37	09/11/2023		6812
27	09/11/2023		6812
74	08/11/2023		6812
41	09/11/2023		6812
31	08/11/2023		8319
79	07/11/2023		6667
84	09/11/2023		6667
55	08/11/2023		7878
15	09/11/2023		7878
25	09/11/2023		6440
70	09/11/2023		7947
68	07/11/2023		2148
48	09/11/2023		2148
89	05/11/2023		6801
91	09/11/2023		6801
36	08/11/2023		7306
1	09/11/2023		9164
46	09/11/2023		7164
49	08/11/2023		7164
88	09/11/2023		6818
12	09/11/2023		6818
22	09/11/2023		9652
64	06/11/2023		8420
75	06/11/2023		5956
73	08/11/2023		5212
51	07/11/2023		5212
94	03/11/2023		5326
96	03/11/2023		1348
29	07/11/2023		1348
97	02/11/2023		2669
15	08/11/2023		3586
37	07/11/2023		1384
1	08/11/2023		4511
30	20/10/2023		4511
18	02/11/2023		2029
100	29/10/2023		4413
27	07/11/2023		3545
44	03/11/2023		8933
67	07/11/2023		8933
52	08/11/2023		9883
47	07/11/2023		3676
93	02/11/2023		5526
60	08/11/2023		7644
90	03/11/2023		6812
28	08/11/2023		6812
10	07/11/2023		6812
57	03/11/2023		1404
81	08/11/2023		7765
69	07/11/2023		7878
5	06/11/2023		9625
34	07/11/2023		2148
56	08/11/2023		6801
28	03/11/2023		9558
74	04/11/2023		4901
31	07/11/2023		1569
54	03/11/2023		1569
39	04/11/2023	07/11/2023	6907
72	07/11/2023	07/11/2023	3551
19	06/11/2023	07/11/2023	1662
25	03/11/2023	07/11/2023	3287
85	04/11/2023	07/11/2023	4413
0	07/11/2023	07/11/2023	4413
88	07/11/2023	07/11/2023	3545
20	06/11/2023	07/11/2023	2514
17	07/11/2023	07/11/2023	1784
99	07/11/2023	07/11/2023	6758
52	07/11/2023	07/11/2023	6758
13	07/11/2023	07/11/2023	6758
66	03/11/2023	07/11/2023	6758
6	02/11/2023	07/11/2023	6812
78	06/11/2023	07/11/2023	6390
7	05/11/2023	07/11/2023	6440
36	07/11/2023	07/11/2023	6440
60	04/11/2023	07/11/2023	6296
80	06/11/2023	07/11/2023	6801
87	07/11/2023	07/11/2023	9164
14	06/11/2023	06/11/2023	8420
24	03/11/2023	06/11/2023	2096
11	05/11/2023	06/11/2023	5385
87	25/10/2023	06/11/2023	5326
92	05/11/2023	06/11/2023	5326
58	02/11/2023	06/11/2023	1569
95	05/11/2023	06/11/2023	3586
27	06/11/2023	06/11/2023	1384
83	04/11/2023	06/11/2023	8221
63	06/11/2023	06/11/2023	2029
34	01/11/2023	06/11/2023	1662
51	05/11/2023	06/11/2023	3287
52	06/11/2023	06/11/2023	8454
29	06/11/2023	06/11/2023	4413
4	05/11/2023	06/11/2023	3642
8	27/10/2023	06/11/2023	3545
22	06/11/2023	06/11/2023	9883
9	02/11/2023	06/11/2023	3676
48	05/11/2023	06/11/2023	6294
46	06/11/2023	06/11/2023	7006
50	06/11/2023	06/11/2023	6758
41	04/11/2023	06/11/2023	8333
67	05/11/2023	06/11/2023	6812
65	05/11/2023	06/11/2023	6466
17	05/11/2023	06/11/2023	2148
56	06/11/2023	06/11/2023	6818
14	03/11/2023	05/11/2023	5956
49	02/11/2023	05/11/2023	5956
32	10/09/2023	05/11/2023	2096
99	31/10/2023	05/11/2023	5212
31	04/11/2023	05/11/2023	5212
13	04/11/2023	05/11/2023	5326
43	31/10/2023	05/11/2023	4901
68	09/10/2023	05/11/2023	1569
91	03/11/2023	05/11/2023	2669
80	23/10/2023	05/11/2023	3586
16	23/09/2023	05/11/2023	5450
5	28/10/2023	05/11/2023	3551
55	04/11/2023	05/11/2023	4413
